[n: 28, f: 0, c: 14] p 1931 | f 22
[n: 10, f: 1, c: 7] p 25 | f 2
[n: 14, f: 6, c: 11] p 463 | f 10
[n: 10, f: 2, c: 7] p 36 | f 2
[n: 18, f: 2, c: 6] p 258 | f 7
[n: 10, f: 3, c: 7] p 45 | f 2
[n: 10, f: 4, c: 7] p 54 | f 2
[n: 10, f: 5, c: 7] p 62 | f 2
[n: 17, f: 4, c: 10] p 674 | f 14
[n: 10, f: 6, c: 7] p 72 | f 2
[n: 10, f: 0, c: 7] p 10 | f 1
[n: 10, f: 1, c: 7] p 24 | f 2
[n: 10, f: 2, c: 7] p 35 | f 2
[n: 18, f: 3, c: 6] p 324 | f 8
[n: 20, f: 2, c: 18] p 1209 | f 39
[n: 10, f: 3, c: 7] p 44 | f 2
[n: 10, f: 4, c: 7] p 53 | f 2
[n: 14, f: 7, c: 11] p 518 | f 9
[n: 10, f: 5, c: 7] p 61 | f 2
[n: 25, f: 3, c: 6] p 1044 | f 15
[n: 10, f: 6, c: 7] p 68 | f 2
[n: 10, f: 0, c: 7] p 9 | f 1
[n: 10, f: 1, c: 7] p 24 | f 5
[n: 10, f: 2, c: 7] p 36 | f 2
[n: 18, f: 4, c: 6] p 369 | f 8
[n: 10, f: 3, c: 7] p 46 | f 2
[n: 10, f: 4, c: 7] p 55 | f 2
[n: 10, f: 5, c: 7] p 64 | f 2
[n: 10, f: 6, c: 7] p 71 | f 2
[n: 10, f: 0, c: 7] p 10 | f 1
[n: 10, f: 1, c: 7] p 25 | f 2
[n: 17, f: 5, c: 10] p 762 | f 13
[n: 10, f: 2, c: 7] p 37 | f 2
[n: 14, f: 8, c: 11] p 551 | f 8
[n: 10, f: 3, c: 7] p 46 | f 3
[n: 22, f: 3, c: 9] p 1320 | f 20
[n: 18, f: 5, c: 6] p 397 | f 8
[n: 10, f: 4, c: 7] p 54 | f 2
[n: 10, f: 5, c: 7] p 62 | f 2
[n: 18, f: 0, c: 6] p 69 | f 3
[n: 10, f: 6, c: 7] p 71 | f 2
[n: 10, f: 0, c: 7] p 10 | f 1
[n: 10, f: 1, c: 7] p 24 | f 2
[n: 10, f: 2, c: 7] p 37 | f 2
[n: 18, f: 1, c: 6] p 150 | f 5
[n: 10, f: 3, c: 7] p 46 | f 2
[n: 10, f: 4, c: 7] p 54 | f 2
[n: 10, f: 5, c: 7] p 62 | f 2
[n: 10, f: 6, c: 7] p 70 | f 2
[n: 10, f: 0, c: 8] p 7 | f 1
[n: 14, f: 9, c: 11] p 589 | f 8
[n: 18, f: 2, c: 6] p 250 | f 7
[n: 10, f: 1, c: 8] p 23 | f 2
[n: 10, f: 2, c: 8] p 36 | f 3
[n: 10, f: 3, c: 8] p 49 | f 3
[n: 25, f: 4, c: 6] p 1240 | f 16
[n: 10, f: 4, c: 8] p 60 | f 3
[n: 17, f: 6, c: 10] p 870 | f 14
[n: 10, f: 5, c: 8] p 71 | f 3
[n: 10, f: 6, c: 8] p 82 | f 2
[n: 18, f: 3, c: 6] p 325 | f 10
[n: 10, f: 7, c: 8] p 93 | f 2
[n: 10, f: 0, c: 8] p 6 | f 1
[n: 20, f: 3, c: 18] p 1647 | f 47
[n: 10, f: 1, c: 8] p 23 | f 2
[n: 10, f: 2, c: 8] p 36 | f 3
[n: 10, f: 3, c: 8] p 49 | f 3
[n: 14, f: 10, c: 11] p 633 | f 9
[n: 10, f: 4, c: 8] p 61 | f 3
[n: 10, f: 5, c: 8] p 72 | f 2
[n: 18, f: 4, c: 6] p 367 | f 10
[n: 14, f: 0, c: 11] p 61 | f 4
[n: 10, f: 6, c: 8] p 82 | f 2
[n: 10, f: 7, c: 8] p 92 | f 2
[n: 14, f: 1, c: 11] p 151 | f 7
[n: 10, f: 0, c: 8] p 7 | f 1
[n: 10, f: 1, c: 8] p 22 | f 2
[n: 10, f: 2, c: 8] p 36 | f 3
[n: 10, f: 3, c: 8] p 48 | f 3
[n: 10, f: 4, c: 8] p 60 | f 3
[n: 18, f: 5, c: 6] p 388 | f 8
[n: 14, f: 2, c: 11] p 229 | f 9
[n: 10, f: 5, c: 8] p 71 | f 2
[n: 17, f: 7, c: 10] p 955 | f 14
[n: 22, f: 4, c: 9] p 1735 | f 22
[n: 18, f: 0, c: 7] p 85 | f 4
[n: 10, f: 6, c: 8] p 82 | f 2
[n: 10, f: 7, c: 8] p 92 | f 2
[n: 10, f: 0, c: 8] p 7 | f 1
[n: 10, f: 1, c: 8] p 22 | f 2
[n: 18, f: 1, c: 7] p 179 | f 7
[n: 10, f: 2, c: 8] p 36 | f 3
[n: 14, f: 3, c: 11] p 297 | f 11
[n: 10, f: 3, c: 8] p 49 | f 3
[n: 25, f: 5, c: 6] p 1346 | f 16
[n: 10, f: 4, c: 8] p 60 | f 3
[n: 10, f: 5, c: 8] p 72 | f 2
[n: 10, f: 6, c: 8] p 82 | f 2
[n: 18, f: 2, c: 7] p 297 | f 9
[n: 25, f: 0, c: 6] p 223 | f 7
[n: 10, f: 7, c: 8] p 92 | f 2
[n: 14, f: 4, c: 11] p 355 | f 11
[n: 10, f: 0, c: 8] p 7 | f 1
[n: 10, f: 1, c: 8] p 22 | f 2
[n: 10, f: 2, c: 8] p 36 | f 3
[n: 10, f: 3, c: 8] p 48 | f 3
[n: 10, f: 4, c: 8] p 60 | f 3
[n: 10, f: 5, c: 8] p 71 | f 3
[n: 18, f: 3, c: 7] p 414 | f 10
[n: 10, f: 6, c: 8] p 81 | f 2
[n: 28, f: 1, c: 14] p 3776 | f 39
[n: 17, f: 8, c: 10] p 1016 | f 15
[n: 14, f: 5, c: 11] p 412 | f 12
[n: 10, f: 7, c: 8] p 92 | f 2
[n: 10, f: 0, c: 9] p 0 | f 1
[n: 10, f: 1, c: 9] p 13 | f 3
[n: 10, f: 2, c: 9] p 26 | f 3
[n: 25, f: 1, c: 6] p 516 | f 11
[n: 10, f: 3, c: 9] p 39 | f 4
[n: 10, f: 4, c: 9] p 52 | f 4
[n: 10, f: 5, c: 9] p 65 | f 3
[n: 10, f: 6, c: 9] p 79 | f 3
[n: 20, f: 4, c: 18] p 2094 | f 54
[n: 18, f: 4, c: 7] p 492 | f 10
